date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:14	306/306	---M-Z	200	added ('OK')	text/plain	date:Fri,%2017%20Apr%202015%2020:43:11%20GMT	http://www.livelongerrunning.com/robots.txt		(from )
15:13:15	36442/36442	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2014:13:09%20GMT	http://www.livelongerrunning.com/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/index.html	(from )
15:13:15	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2017%20Apr%202015%2021:26:04%20GMT	http://www.livelongerrunning.com/favicon.ico?v=1	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/favicon3860.ico	(from http://www.livelongerrunning.com/)
15:13:16	19250/19250	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Apr%202015%2001:49:32%20GMT	http://www.livelongerrunning.com/wp-content/themes/livelongerrunning/style.css	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-content/themes/livelongerrunning/style.css	(from http://www.livelongerrunning.com/)
15:13:17	97184/97184	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Aug%202016%2016:13:44%20GMT	http://www.livelongerrunning.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://www.livelongerrunning.com/)
15:13:17	10056/10056	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Aug%202016%2016:13:44%20GMT	http://www.livelongerrunning.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.livelongerrunning.com/)
15:13:17	7886/7886	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2020%20Apr%202015%2001:49:52%20GMT	http://www.livelongerrunning.com/wp-content/themes/livelongerrunning/assets/javascripts/libraries/modernizr-2.8.3.min.js?ver=4.6.4	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-content/themes/livelongerrunning/assets/javascripts/libraries/modernizr-2.8.3.min82d0.js	(from http://www.livelongerrunning.com/)
15:13:17	4596/4596	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2020%20Apr%202015%2001:49:52%20GMT	http://www.livelongerrunning.com/wp-content/themes/livelongerrunning/assets/javascripts/libraries/respond.min.js?ver=4.6.4	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-content/themes/livelongerrunning/assets/javascripts/libraries/respond.min82d0.js	(from http://www.livelongerrunning.com/)
15:13:18	884/884	---M-Z	200	added ('OK')	text/xml	date:Thu,%2013%20Apr%202017%2014:13:13%20GMT	http://www.livelongerrunning.com/xmlrpc.php?rsd	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/xmlrpc0db0.php	(from http://www.livelongerrunning.com/)
15:13:18	1066/1066	---M-Z	200	added ('OK')	application/json	date:Thu,%2013%20Apr%202017%2014:13:13%20GMT	http://www.livelongerrunning.com/wp-json/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-json/index.html	(from http://www.livelongerrunning.com/)
15:13:19	1045/1045	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Mar%202014%2016:07:37%20GMT	http://www.livelongerrunning.com/wp-includes/wlwmanifest.xml	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-includes/wlwmanifest.xml	(from http://www.livelongerrunning.com/)
15:13:20	2427/2427	---M-Z	200	added ('OK')	application/json	date:Thu,%2013%20Apr%202017%2014:13:14%20GMT	http://www.livelongerrunning.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.livelongerrunning.com%2F	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-json/oembed/1.0/embedef9e.json	(from http://www.livelongerrunning.com/)
15:13:20	2716/2716	---M-Z	200	added ('OK')	text/xml	date:Thu,%2013%20Apr%202017%2014:13:15%20GMT	http://www.livelongerrunning.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.livelongerrunning.com%2F&format=xml	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/wp-json/oembed/1.0/embedae04	(from http://www.livelongerrunning.com/)
15:13:21	4270/4270	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:18:08%20GMT	http://www.livelongerrunning.com/images/logo.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/logo.png	(from http://www.livelongerrunning.com/)
15:13:22	36189/36189	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2014:13:17%20GMT	http://www.livelongerrunning.com/best-selling-treadmills-compared/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/best-selling-treadmills-compared/index.html	(from http://www.livelongerrunning.com/)
15:13:23	35436/35436	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2014:13:17%20GMT	http://www.livelongerrunning.com/easy-tips-that-will-help-you-build-up-your-endurance/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/easy-tips-that-will-help-you-build-up-your-endurance/index.html	(from http://www.livelongerrunning.com/)
15:13:23	35450/35450	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2014:13:17%20GMT	http://www.livelongerrunning.com/how-to-burn-more-fat-and-calories/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/how-to-burn-more-fat-and-calories/index.html	(from http://www.livelongerrunning.com/)
15:13:23	373/373	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:18:48%20GMT	http://www.livelongerrunning.com/images/stars/five-star.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/stars/five-star.png	(from http://www.livelongerrunning.com/)
15:13:24	27875/27875	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:26:27%20GMT	http://www.livelongerrunning.com/images/banner.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/banner.png	(from http://www.livelongerrunning.com/)
15:13:24	35403/35403	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2014:13:18%20GMT	http://www.livelongerrunning.com/the-most-common-mistakes-people-make/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/the-most-common-mistakes-people-make/index.html	(from http://www.livelongerrunning.com/)
15:13:24	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202017%2014:13:19%20GMT	http://www.livelongerrunning.com/[php]echo%20bloginfo('url');[/php]/best-selling-treadmills-compared/	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/[php]echo%20bloginfo('url');[/php]/best-selling-treadmills-compared/index.html	(from http://www.livelongerrunning.com/)
15:13:24	680/680	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:18:49%20GMT	http://www.livelongerrunning.com/images/stars/four-half-star.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/stars/four-half-star.png	(from http://www.livelongerrunning.com/)
15:13:24	663/663	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:18:49%20GMT	http://www.livelongerrunning.com/images/stars/four-star.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/stars/four-star.png	(from http://www.livelongerrunning.com/)
15:13:25	818/818	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2023:18:49%20GMT	http://www.livelongerrunning.com/images/stars/three-half-star.png	C:/Users/jaya/Desktop/livelongerrunning/livelongerrunning/www.livelongerrunning.com/images/stars/three-half-star.png	(from http://www.livelongerrunning.com/)
